n_parameters,computation_time,objective_value,test_case,elec-resistance,alpha-c,memb-cond-correction,B_ch,ionomer-cond-corr,i0-c,memb-cond-exp,Sh,E-act-ca,memb-equiv-weight,memb-E-act-cond,gdl-thermal-cond,gamma-c,memb-abs-constant,ix-corr,ionomer-cond-exp,tcr,gdl-abs-perm,memb-thickness,gdl-eff-diff-ratio,pt-loading,ic-ratio,gdl-thickness,ionomer-E-act-cond,memb-water-diff,radius-carbon,wet-transition,ecsa,cl-abs-perm,cl-pore-diameter,cl-theta,n_s,E-act-memb-diff,E-act-memb-abs,ionomer-k2,gdl-theta,ionomer-k1,ionomer-k3
13,247.7379469871521,8.988903451802171e-05,9,3.398303129555141e-06,0.9302193505851861,7.075776991649324,1.3198376451802665,5.867313624272148,0.00048622875528133824,1.4668908791078485,0.6482012616620927,71995983.26326868,703.9583102208346,14770490.673065264,0.05,0.8404145434179608,,,,,,,,,,,,,,,,,,,,,,,,,
14,314.92403411865234,0.00010111796959279245,1,3.372873016471102e-06,0.871012681948137,18.205348014581766,1.0223471016001797,4.147568607895939,0.0008657655864340782,1.5504618858398882,0.6338488486142857,70449593.47927383,700.0,5135862.559069108,0.05956997723621699,0.7820362039395876,6.126727472509696e-06,,,,,,,,,,,,,,,,,,,,,,,,
14,198.3656120300293,6.859965584700387e-05,2,3.5056690184585847e-06,0.9991193996945873,30.511487215608867,1.5344937682794662,1.5013494898397468,0.00023156846111899802,1.476813644592757,0.9200209636993395,77891246.4499245,929.8301659553099,16814429.677326072,0.05,0.787074652567784,8.210992898822949e-06,,,,,,,,,,,,,,,,,,,,,,,,
14,431.6344017982483,9.511974903186127e-05,3,3.4420935973671905e-06,0.8746971313630323,12.761159609628542,1.072657955944686,7.988046660892611,0.0007991654448476752,1.5869432766707292,0.6623872451937723,67859756.27792765,839.8659592362868,27904458.4830872,0.05,0.7926947211004205,6.000628491702684e-06,,,,,,,,,,,,,,,,,,,,,,,,
14,193.97436690330505,9.239749450908395e-05,4,3.4750018885164104e-06,0.8717490242287194,25.837659732441292,1.1120790879468796,2.4378344983887947,0.0007906257869402173,1.87605315798436,0.6701953131010133,70835229.01052454,700.0,13483579.074874109,0.06911525742938034,0.7030518230848922,7.605859357923644e-06,,,,,,,,,,,,,,,,,,,,,,,,
14,199.10024213790894,0.00010707965043262646,5,3.558017340901811e-06,0.9622890563915445,38.56760004928358,1.4840464875305581,1.5205525945646352,0.00043081983380232746,1.4322615222308612,0.9115262168585112,80000000.0,992.1486830754695,15399665.0118466,0.05,0.8874017637005196,9.04387947443243e-06,,,,,,,,,,,,,,,,,,,,,,,,
14,470.1387050151825,9.464046735424791e-05,6,3.5273115485410186e-06,0.9389661441378295,37.97697167417958,1.3704233018750154,1.7136648910903796,0.0005232148401152541,1.5753177538800582,0.8242691475084309,76306438.8550221,887.7843650027013,18633336.133220546,0.05,0.8782233741841554,6.650063431450548e-06,,,,,,,,,,,,,,,,,,,,,,,,
14,376.0640027523041,7.848080284906958e-05,7,3.3542614503216285e-06,0.8890985222472847,9.995576496722483,0.9735471729281451,5.132671414984636,0.0005933959253532867,1.5630798354561941,0.6112314666888693,63469149.293596506,700.0,15838592.290468449,0.053940965805820654,0.7149900313160441,1.6283023007859411e-06,,,,,,,,,,,,,,,,,,,,,,,,
14,202.34467673301697,8.185252625662346e-05,8,3.5321577008938647e-06,0.8683894848533488,49.999999999999986,0.5848903170818284,12.686297969418504,0.00084766435194137,1.7266538104075757,0.5050614750182761,66343673.33389636,700.0,8408464.797334608,0.05,0.896266722958404,4.409598573329701e-06,,,,,,,,,,,,,,,,,,,,,,,,
14,342.8861482143402,8.243145865511191e-05,9,2.9775698744907547e-06,0.9549149597449537,0.9551588141191788,1.6641393155769848,3.6806006289624644,0.0003812632962802716,1.2615339437786248,0.712847315694716,72246010.57660875,700.0,26488109.43900852,0.05,0.7669772232267286,7.75616207404878e-05,,,,,,,,,,,,,,,,,,,,,,,,
